%trk_id,qual,P_rng1,P_AZ,P_EL,P_HGT,P_TIME,M_rng1,M_AZ,M_EL,M_TIME,F_X,F_Y,F_Z,F_VX,F_VY,F_VZ,F_AX,F_AY,F_AZ,rng1_MIN,rng1_MAX,AZ_MIN,AZ_MAX,EL_MIN,EL_MAX,F_TIM
57,14,17.002407,310.551758,0.055024,0.016328,54409.78125,17.002092,310.593109,0.01,54409.80469,-12912.88086,11060.36621,6.782097,5.407388,4.051905,-0.248539,0,0,0,15.381739,18.629238,309.496552,311.496552,0,2.522906,54409.80469
57,14,17.001448,310.592407,0.1,0.029673,54410.30469,17.009106,310.613739,0.01,54410.26563,-12911.3877,11069.38867,4.02258,4.92249,6.852942,-1.303188,0,0,0,15.424871,18.578621,309.587891,311.587891,0,2.522607,54410.26563
57,14,17.00728,310.621826,0.011357,0.003371,54410.76563,17.001024,310.587799,0.01,54410.80859,-12910.22656,11064.42481,3.082503,4.40186,3.493687,-1.418642,0,0,0,15.424871,18.578621,309.587891,311.587891,0,2.522607,54410.80859
57,14,17.002274,310.606781,0.1,0.029675,54411.30859,16.999432,310.549591,0.01,54411.28906,-12914.37402,11055.6377,2.797467,1.85955,-0.723805,-1.248839,0,0,0,15.429525,18.575462,309.602936,311.602936,0,2.508987,54411.28906
57,14,16.999298,310.567047,0.007324,0.002173,54411.78906,16.998833,310.444122,0.01,54411.81641,-12930.13379,11035.26172,2.740275,-4.824106,-8.736202,-1.02183,0,0,0,15.429525,18.575462,309.602936,311.602936,0,2.508987,54411.81641
57,14,16.99798,310.462738,0.1,0.029667,54412.31641,16.998411,310.516724,0.01,54412.35156,-12925.3457,11039.79688,2.756303,-1.940617,-5.171875,-0.810942,0,0,0,15.433256,18.563568,309.469818,311.469818,0,2.508254,54412.35156
57,14,16.997343,310.492554,0.007924,0.002351,54412.85156,16.998947,310.517731,0.01,54412.85547,-12923.7207,11042.01172,2.791034,-0.901304,-3.249933,-0.63477,0,0,0,15.433256,18.563568,309.469818,311.469818,0,2.508254,54412.85547
57,14,26.337116,320.910919,0.01,0.004597,54424.64063,26.326977,320.918243,0.01,54424.66016,-16599.85547,20437.88281,4.595429,-20.987514,-18.682938,-0.000225,0,0,0,24.590652,28.080339,319.974335,321.974335,0,2.51,54424.66016
57,14,26.329243,320.88559,0.1,0.045953,54425.16016,26.332102,320.93103,0.01,54425.12109,-16600.06445,20439.52734,4.595675,-16.871971,-14.28618,-0.000081,0,0,0,24.607836,28.050648,319.88559,321.88559,0,2.51,54425.12109
57,14,26.331059,320.894012,0.01,0.004596,54425.62109,26.334671,320.790009,0.4069,54425.56641,-16636.33984,20412.49414,134.906555,-28.011576,-22.246876,52.135635,0,0,0,24.607836,28.050648,319.88559,321.88559,0,2.51,54425.56641
